Author,Location,Date,Comment,Stars
Lori,"Johnstown, PA","Reviewed Feb. 23, 2023",Amazing and above and beyond experience. I couldn’t be more happy and well taken care of every step I took. I don’t know how I would have done this without the help from Rocket Mortgage and especially Sam **. Wow. He is a blessing and I don’t have enough words to say. The best there is. Was an honor to have him as a person to walk me through a world of unknowns but will say his name loud and I couldn’t be more happy. He said he would get me in a home and he did. Was like holding my hand and guiding me along every step of the way. This man is a great representation of your company and proud to say I know him. Thank you for everything.,5
James,"Longmont, CO","Reviewed Jan. 4, 2023",The process was well outlined by Darren who gave us the initial numbers to give us the cashback we wanted and get us a loan we could live with. He acted quickly. We figured we would need to provide all of our essential financial data. That was no problem. The only hitch was the time from beginning to end seemed to be a little longer than we anticipated. We started the process in mid-October and we didn't close until late December. It just seemed to be long by a few weeks.,5
Leland,"Reunion, FL","Reviewed Dec. 15, 2022","We have worked with Quicken Loans/Rocket Mortgage on many different mortgages. For the 1st time, the process was difficult and frustrating. All of the employees were very nice and helpful. The frustration seemed to come from the fact that each person was SO LIMITED in the information they could see or access. Even our main loan contact could not see our file one we were in process. That really limited him from helping us when the process got into trouble.",4
Elizabeth,"Sanford, FL","Reviewed Dec. 2, 2022","My experience was very smooth, by that I mean that Tiffany was very clear when describing my options and how each of them worked, and it showed me which one was more beneficial to my financial situation. The only thing that I found to be inaccurate was the fact that I would have two months' grace before I started my repayment process, I was looking forward to having that time to get fully ready. However, it was not a deal breaker and I was very pleased with everything else.",5
Allen,"Rolling Hills, WY","Reviewed Oct. 3, 2022",Rocket Mortgage made our buying a new home so easy & smooth I couldn’t believe it! I started out with someone else & they wanted me to several other things to get approved & it turned into a nightmare! So I tried another way & they wanted to charge me a small fortune & I found out the way they recommended me to the paperwork was fraudulent! Then I tried Rocket & I was amazed at how easy & smooth they made everything! Thank you to all those that helped us in our journey. Even with all the hiccups along the way they still made it smooth sailing & now we’re in our new home that we all adore!,5
J Bruce,"Fairhope, AL","Reviewed March 8, 2023","My refinance involved payoffs to a number of creditors, and while the refinance itself was flawless and quite streamlined, the payoffs were not. I received checks that I had to mail to the creditors--I never mail to them and didn't have addresses, etc handy. Owing to the timing, most of the payoff balances had changed. A clumsy part of an otherwise effective process.",5
Lynnette,"Port Saint Lucie, FL","Reviewed March 7, 2023","I would recommend Rocket to anyone needing a loan!! It was a pleasure working with your Representatives, they were very friendly and professional! From beginning to end the loan process was easy, efficient and quick!!! I also use Rocket Money which is another great service!",5
Lisa,"Houston, TX","Reviewed March 3, 2023",Excellent service with this refinance. Finished in 2 weeks. Highly recommend Albert!!! The closing was excellent. Received checks to payoff loans in 73 hours. Would gladly work with again. First payment coming up April 1st 2023. Easy way to pay loans online. They will never sell my loan. That is why I changed to them. I kept being sold off for a total of 5 times and I had enough.,5
Aaron,"Farmington, PA","Reviewed Feb. 24, 2023",I had a good experience with all individuals that I encountered during this entire process. I was made aware of everything that I needed to do so that my refinance could go smoothly. Johnny was also helpful in getting the process going. I was able to contact him at anytime during my loan process.,5
Eugene,"Uniontown, OH","Reviewed Feb. 15, 2023","I could not complete my rating for my Rocket Mortgage experience because it has been over 2 weeks since closing and I still can not (as of 11:36 AM) review my loan information after signing in at your webpage. Until that happens, I just get more and more frustrated with the process! Please help.",1
