Author,Location,Date,Comment,Stars
Lois,"Salix, PA","Reviewed June 22, 2023","Kristen accurately, patiently and with great knowledge reviewed ALL my options in moving my assets into Gold and Silver. She helped me diversify my portfolio into gold and silver for both short term and long term asset management. This was my first foray into the precious metals and Kristen’s expertise confirmed that I made the right decision in choosing Patriot Gold Group.",5
Lauri,"Portland, OR","Reviewed May 30, 2023","I had no experience or hard knowledge in dealing with precious metals. I only knew that I wanted to get away from the stock market and this was a viable solution with physical assets. Once I made the initial inquiry, Ron ** led me through the entire process in layman’s terms, made me feel comfortable, and was available anytime with any questions. Once the 401k transfer process was completed I was set up with Frank for purchasing my assets. This was where I was really inept. He could not tell me what to buy but guided me the best he was by law able to. ",5
Ami,"Hudson, FL","Reviewed May 12, 2023","Having been a successful traditional IRA investor for nearly 40 yrs, it was very difficult for me to consider rolling over my IRA into a money metals IRA; however, given the current declining trajectory of our global economic affairs, I wanted to explore this option to protect my assets. From the first day, Matt ** provided me with outstanding customer care in this decision-making process. Never once did I feel pressure. He was very patient, kind, friendly, informative, and professional with me throughout the process and was very knowledgeable in this regard. I genuinely felt that he had my personal interests at heart. And I appreciate knowing that I can continue to call him at any time with any questions or concerns I might have regarding my money metals IRA in the future. He has always returned my calls and made me feel like I was his only customer that day. Thank you Patriot Gold and Matt ** for putting my mind at ease.",5
Kenneth,"Defuniak Springs, FL","Reviewed Feb. 15, 2023","When I was in the market to buy gold, I did research on companies that had excellent ratings and found out that excellent ratings alone are not enough when deciding which company to go with, one of the issues I found with a couple of companies was that they offered upfront incentives, like free coins etc, but this turned out to be nothing more than a bait & switch, the coins they offered were restricted to a limited selection & after they add their markups the buyer is not really getting anything FREE!!!",5
William,"Burkesville, KY","Reviewed Jan. 27, 2023","Patriot Gold was straight forward ""contract"" free. Everything they said and committed to, was followed up in writing. ",5
Cheri,"Boise, ID","Reviewed Dec. 10, 2022","Up until 2020 we were flying high with our 401K's and other investments. We've both been retired for a few years. We saved, planned well (or so we thought) and we had more than enough to enjoy a comfortable retirement and to pass on assets to family. Then came this word salad of an economic policy and we were concerned. We've been gold owners for quite a long time, but had never considered a gold IRA. While investment growth is still preferred, for us now maintaining and protecting our wealth is most important. I did quite a bit of research online and felt that Patriot Gold Group was a good match for us. We worked with Mike ** and he was there during the whole process. The instructions on how to move funds from a 401K to Patriot were excellent and their back room was very efficient. In fact, the only stumbling blocks we experienced were in moving funds out of a federal employee 401K! (Imagine that!) We highly recommend!",5
Ronald,"Poteau, OK","Reviewed Aug. 22, 2023","I AM so excited to be onboard the Gold/Silver train & not the previous 401... Before Patriot Gold in my life, other companies would not talk to me unless over $100,000 to roll over. I am very elated with Patriot Gold Group! Kristen & Sam are lifesavers! I'd highly recommend.",5
Jack,"Cody, WY","Reviewed Aug. 22, 2023",Dealing with Patriot Gold Group with the transferring of my 401k into a Gold and Silver account was so smooth and easy. They were there to answer any questions I had and made the process quick and easy. It was a pleasure working with them. I with out any hesitation recommend them.,5
Kathleen,"Clearwater, FL","Reviewed Aug. 22, 2023","We had the best experience with Kristen ** in buying precious metals. She was very kind and knowledgeable. She made the whole thing very painless and a true asset to Patriot Gold! We didn't understand at first but she went through every piece and made it easy breezy for us, especially my husband",5
Ladonna,"Hutchinson, KS","Reviewed Aug. 19, 2023","When communicating with Patriot Gold about making a precious metals purchase and transferring an IRA over to metals, I was blown away by the fact that I was speaking with the owner of the company. Both Andy and Matthew dialogued with me like I was family. They asked questions about an upcoming trip and showed genuine interest, as if we’d known each other for years. I would highly recommend this company to everyone. Best personal customer service I’ve ever received!! Thank you Patriot Gold!!",5
Frank,"Old Bridge, NJ","Reviewed Aug. 17, 2023","When I was ready to invest in gold, I saw a commercial on NewsMax with Dick Morris promoting your company and decided to give you a call. I wound up talking to Michael **, who was a pleasure to talk to. He took the time to educate me on certain gold choices and made me feel like family., I made my purchase with the utmost confidence I made the best choice doing business with Michael. Thank you and may God Bless you all!!",5
Mark,"Albany, OR","Reviewed Aug. 16, 2023",Jim and Matt were VERY IMPRESSIVE! They understood my situation and addressed all my concerns with kindness and professionalism and were available any time I needed guidance. They walked me through the entire process relieving me of much anxiety that comes with uncharted financial transactions. I would HIGHLY recommend Patriot Gold Group for anyone considering investing in precious metals.,5
Michael,"Greenfield, MA","Reviewed Aug. 15, 2023","I recently contacted Ron at Patriot Gold Group to help me transfer my 401K to a precious metal IRA. Ron was very helpful giving me step by step instructions with the transfer procedure. He is very professional and knowledgeable. He then directed me to Frank, who was very helpful with my Patriot Gold Group precious metal IRA purchase. I give Ron and Frank a 5 star rating and would recommend them to a friend.",5
Tom,"Degraff, OH","Reviewed July 26, 2023","I contacted Patriot Gold after first speaking another precious metals company which was determined to sell me something other than what I wanted. Patriot Gold did not try to steer (manipulate) me. No hassles with Patriot Gold. Fair pricing. Quick shipping. I recommend Patriot Gold to others, and I will only buy from them. The other company’s pitch is akin to a Shamwow commercial, and they ""blew it"" with me.",5
John,"Lagrange, IN","Reviewed July 22, 2023","My gold purchase experience with Kisten ** at Patriot Gold was very positive. It was a major decision to purchase gold as I had considered it for many years hoping the price would go down. I immediately felt at ease with Kristen which is something I did not feel when I had considered another vendor. All of her follow-ups were timely, complete and considerate. I feel as good now as when I first made my purchase decision with Patriot Gold.",5
Susan,"Indianapolis, IN","Reviewed July 15, 2023",I was very impressed with Andy. He was well conversed and ready for a new client and all the questions that come along with a new investor. He was very helpful in explaining the process of investing in metals. He had knowledge of many types and explained the mission of Patriot Gold. He welcomes future calls as if they are a new account!,5
David,"Jonesville, MI","Reviewed July 15, 2023",My wife and I had a great experience at Patriot Gold Group. Will was always willing to answer any of our questions and returned calls quickly. If Matt couldn't help us Michael did. The teamwork made our experience a pleasant one. We are very satisfied with our decision in choosing Patriot Gold Group!,5
Hector,"Takoma Park, MD","Reviewed July 14, 2023","To be fair, I had contacted Mr. ** at Patriot Gold a few times, however the hectic schedule I was under precluded my initially being able to work with him. Meanwhile, I was losing money from my 401K in the stock market. I finally was able to free up time, and he made the experience seamless.",5
Lawrence,"Hillsborough, NC","Reviewed July 14, 2023","I felt very comfortable dealing with Liz. She impressed me as a person who really cared about our needs, above and beyond her role as a salesperson. It took all the stress out of the transaction. We have never done this type of purchase before, but with her help and assurances, everything went very smoothly.",5
Izabella,"Madison, AL","Reviewed July 13, 2023",Kristin and Charley provided professional guidance through the process of my IRA transfer to Patriot Gold Group. I appreciate their knowledge and courteous customer service in walking me through the process and setting up my account. I highly recommend the Patriot Gold Group when seeking other areas to invest your hard earned money.,5
John,"Santa Barbara, CA","Reviewed July 13, 2023","I'd contacted Patriot Gold Group in March of this year and, being a newbie in this arena, asked a few questions where several, I am certain, were eye-rollers. All the reps, such as Sam, on through to my account rep Kristen, were not only exceedingly patient, but, were professional, informative, and prompt. Needless to say I purchased some Gold and Silver and, when the items arrived, they were exactly what was advertised and discussed via telephone.",5
James,"Manchester, NH","Reviewed July 11, 2023","1st time ordering precious metals so no experiences will be relatable to this opinion. My wife and I felt in control but respected by Frank when we purchased the precious metals from Patriots Gold. He was very helpful through the whole process and thank him for his patience with us. Thank you Frank. Thank you all, Jim and Denise.",5
James,"Southport, NC","Reviewed July 6, 2023",I had some questions regarding the transfer and legal issues relating to this kind of investment and I had some difficulty transferring the funds from my IRA. But with the help of Tim and Andy they were able to speak directly to my old investment firm and guide them through the process. Now that it's all done I feel our assets are safe and still only a phone call away if we need to make any changes.,5
Jeff,"Hilton, NY","Reviewed July 1, 2023",Patriot Gold Group enabled me to easily transfer asset from a conventual IRA into a precious IRA with the help from account manager's William and Micheal. Patriot Gold Group has a wide selection of gold and silver from all the world's major countries mints that you can select from.,5
Susan,"Cedaredge, CO","Reviewed June 29, 2023","From the very start, Patriot representatives returned my calls immediately and answered my questions. Kristen ** was especially helpful, as she thoroughly explained every step of the process, handled it efficiently and followed up promptly. When Kristen was tied up on another call, others took the time and effort to be of service - I was never told to just ""search the website"" for assistance. It's obvious that Patriot representatives care about their clients, and I highly recommend them.",5
Patricia,"Easton, PA","Reviewed June 29, 2023",I contacted Patriot Gold Group in March to have my IRA's transferred so it would be backed by gold and silver. Matthew ** was my representative. He answered all my questions as he walked me through the process. He also updated me when the funds were sent from the other brokerages. Matt's very knowledgeable and friendly. I've contacted about a month ago to ask him a question regarding my statement and he was very helpful. I would recommend Matt to any of my friends or family.,5
Deborah,"Brooklyn, NY","Reviewed June 28, 2023",Kristen ** is very professional and knowledgeable. She was very patient answering all my questions when I was opening my account and I am very satisfied with my experience. Ms. ** was very helpful in informing me of investments available to me and which would be best for my portfolio. She made herself totally available when I had additional questions.,5
Robert,"Cortlandt Manor, NY","Reviewed June 28, 2023","Matt was very helpful in answering all of my many question during several telephone calls. In the end, he provided an alternative that in the long run would end up being financially better than my original plan. I would recommend Matt and Patriot Gold Group for your physical gold & silver needs.",5
Jennifer,"Moscow, PA","Reviewed June 27, 2023","The team at Patriot Gold group are outstanding to work with. The process was seamless and the support along the way was first class in setting up my IRA and selecting my investments. Mike was very diligent in reviewing the process, investment options and how/where my investments would be vaulted which made me very comfortable with my decision. I definitely received the white glove treatment! :)",5
Dave,"Midland, TX","Reviewed June 27, 2023",Matt ** was exceeding helpful and friendly. He listened to my thoughts and he complied with my requests at every step of the way. I could not be any more pleased with my experience AND with Patriot Gold! I cannot imagine a more pleasant experience and I have referred both Patriot AND Matt to friends and family. THANKS!!,5
Carol,"Eatonton, GA","Reviewed June 26, 2023",My experience purchasing metals for my IRA was simple and professional. Great job! I had quite a few questions and the Patriot Gold representative was very helpful. She gave me the answers I needed and helped me throughout the process. I would be happy to recommend Patriot Gold to my friends and family who want to add Gold and Silver to their portfolio.,5
Alberta,"Powell, WY","Reviewed June 23, 2023","My experience dealing with Frank ** & Ron ** was one of satisfaction. Any contact with either of them was courteous, helpful & to the point. Any return calls necessary were done in a timely manner. Questions about mailing items were answered & they checked to make sure items arrived safely.",5
Jessica,"Little Compton, RI","Reviewed June 21, 2023","Top Notch service at Patriot Gold! Kristen ** and Charley ** were a joy to work with! I would highly recommend them! Buying God for the first time, they went above and beyond to make me feel comfortable through the process. Service teams followed up to ensure I felt comfortable after the purchase and put me back in touch with care.",5
Benito,"Monument, CO","Reviewed June 20, 2023",Mr. Mike and his back office personnel handled the account set up and the purchase of metals in a highly professional manner. All the process went smoothly. I will gladly be referring Mike and Patriot Gold Group to any and all my contacts. Thank you for your follow up. Keep up the good work in our trying time.,5
Patricia,"Fort Worth, TX","Reviewed June 16, 2023",All my questions concerning gold and silver was answered. I have a fund with your company. So I wanted to increase my shares of silver and gold. Not to just do the stock market. I just can not see my gold or silver but I know your company did purchase them.,5
Carole,"Lynchburg, VA","Reviewed June 16, 2023",I want to thank Michael ** for assisting us with our new account with Patriot Gold. Michael answered all of our questions and made the procedure simple to navigate. He followed up with us several times and gave us peace of mind throughout the transaction. I would recommend Patriot Gold to friends and family.,5
Eugene,"Vancouver, WA","Reviewed June 13, 2023","I had a very positive experience. Ron ** was courteous and followed through, and was attentive throughout the process, taking time to explain, answer questions, and ensure we were comfortable throughout. I was very satisfied with the purchasing experience, as was my wife, who also made a similar purchase.",5
Sharon,"Garland, TX","Reviewed June 12, 2023",My experience transferring my traditional IRA over to the Patriot Gold Group was impressive. There were some hiccups but Charlie ** handled everything for me. Andy Clay also helped in explaining how it all worked. I was impressed with everyone I dealt with. You feel like they care and want the best for you. I am glad I picked this company and feel like I picked the best. Thank you Charlie and Andy.,5
Alton,"Catawba, NC","Reviewed June 10, 2023",Mr ** was very professional and easy to work with. He explained everything to me and was very knowledgeable. He is a asset to your company. He has always been accessible for any questions or issues that I was needing help with.,5
David,"Edgewood, NM","Reviewed June 9, 2023",Was skeptical at first but after one or two phone calls and both Traditional and Roth roll over accounts from Fidelity migrated to precious metals. Glad I converted when I did with no regrets. Patriot Gold delivers and their customer service rocks.,5
Kristie,"Pleasant Plain, OH","Reviewed June 7, 2023",I rolled my IRA into precious metals with Patriot Gold. Chase and Mike were a huge help taking their time to answer my questions and guide me through the process. Several months later I received a follow up call from Kelly to make sure I was happy with my experience with them. I'm very pleased with Patriot Gold.,5
Thomas,"York, PA","Reviewed June 6, 2023",Both the support from my sales rep and trader has made it easy to establish a metals IRA and actually fund and secure investments. Tim and Andy are always helpful in getting things done. When looking for investment options Andy always has a few options from which I can made an informed decision to purchase. Having a prior investment option allows me to evaluate options and make the best choice. The options represented are always reasonable and not something a trader is looking to unload.,5
