Author,Location,Date,Comments,Reviews
Tesa,"Braham, MN","Reviewed July 1, 2023","I had quite a difficult process with AmeriSave because I was in the process of a divorce and had some credit issues. So, I needed to submit a couple of times things like bank statements, work stubs and payment stubs. The reps needed to check my credit a couple of times to make sure the numbers were right or the debt-to-income ratio was correct. But they were wonderful about walking me through it and working with me throughout the process. AmeriSave’s website was user-friendly. It was very obvious what action steps needed to be taken from the website but oftentimes, it did not reflect what my agent was saying. She would tell me something was due and needed, but the website would say that I was fully done and everything was submitted. So there was a little bit of confusion on that. But otherwise, the website was very user-friendly. ",4
Mike,"Richland, MI","Reviewed April 5, 2023","A rep named Russell called me and he seemed like a really nice gentleman. He was really positive and wasn't pushy. I told him what I was doing and he said AmeriSave could help me. He ran some numbers really quickly and he's like, “Here's what you're looking at.” He cut right to the chase. He didn't get through all the bread and the fluff. he told me the rates and the closing cost. I was interested and I pursued it from there.",5
Darrin,"Coon Rapids, MN","Reviewed Feb. 19, 2023","I was looking at cash-out refinance options that were military and AmeriSave was rated one of the best companies that did that. I did a cash-out refinance with them. The process started off pretty well. Carlo was the loan originator that I was working with and he did an outstanding job. He was really friendly and consistent with communication. He kept me up to speed on certain aspects of the process, how long things took, and things to watch out for. ",4
Laura,"Dayton, OH","Reviewed Jan. 6, 2023","The first person that I talked to at AmeriSave was very pushy in wanting my credit information. But I said I was looking for guidance and I was not looking to lock anything in yet because I still got to get through the repair. She was taken back a little bit and then made me feel like, “Okay. If you're not serious, I really don't wanna deal with you” kind of thing. I spent years in real estate, so I understand.",5
Kim,"Freedom, PA","Reviewed Sept. 18, 2022","I was Googling some of the best refinance companies in the region. I wanted to find a good refinance company and not a mediocre one. I wanted somebody with excellent customer service. AmeriSave was one of the few that were up there along with Quicken Loans. I already went through Quicken Loans before and they they quoted me so low on the house. That ticked me off. My husband and I did a major renovation and after that, tried out AmeriSave. I'm happy I did. The online application process was very straightforward and user-friendly. At first, there was a little bit of a hiccup because it wasn't accepting my username and password. It was explained to us ahead of time that that could happen because of some type of glitch in their system. That was not a big deal and we got over it.",5
Marshall,"Ray City, GA","Reviewed Aug. 15, 2023","The portal where I submitted documents was a little disjointed to use. Other than that, the application process was easy and the rep stayed in contact. If I had a question or sent an email, I got feedback pretty quickly. Also, we had an issue toward closing. I had submitted pay stubs but only one went through. So, it looked like I had half the income I should have had. We were doing an addition to our home and I said, “No. I wanted to cash out so I can pay for this remodel.” When they looked at my income, they said,  “Oh, we're missing half your pay because we don't have the pay stubs.” So, I had to resubmit. But they corrected everything on their end. That just delayed the process a week or so which was not a big deal.",4
Tiffany,"Henrico, VA","Reviewed Aug. 15, 2023","The Amerisave rep that contacted me at first was really thorough and would always answer the phone when I had questions. The application process was relatively easy. I only had a bit of a glitch at the end trying to get some paperwork from my condo. But once I called and got that and they released it to me, it went relatively quickly. Other than that, everything was still done in a timely manner. They also did a good job of explaining and emailing me, letting me know I had a new form to fill out.",5
Anita,"Ormond Beach, FL","Reviewed Aug. 15, 2023","Amerisave was phenomenal. The rep I worked with had to get on the phone for hours with me, just trying to get through the program safely. They had a decent title company come and close it. They had an appraiser come out. It was local. They did everything a mortgage company should do. Everything worked out fine.",5
Christina,"Brunswick, GA","Reviewed Aug. 15, 2023",The process at AmeriSave was very easy. The application was very self-explanatory. Their customer service was very good. The payment is easy to manage and the ability to take some equity out of the home to pay off other debts was amazing.,5
Srinivasa,"Midland, MI","Reviewed Aug. 15, 2023",AmeriSave was very responsive and quick in returning back to my calls. The application was quick too. The rep I worked with was very courteous. He had been always on top of things and called me back sometimes. He got that going right from the time I wanted him to start the process. He was knowledgeable and was able to answer every question I had.,5
Victor,"Williston, ND","Reviewed Aug. 15, 2023","The process with Amerisave worked out well. It was also quick. The rates were good too. The reps were very professional and helpful, especially James. It was my first time, so it was a lot of stuff that I didn't knew. And he walked me through it. I'm really satisfied with Amerisave.",5
Connie,"Mulberry Grove, IL","Reviewed Aug. 15, 2023","The original person did the paperwork for approval and was initially nice, but things got out of hand and she didn't disclose things that she should have had like manually underwriting things. That's a big deal compared to a regular underwrite. I didn't know that and that posed a lot of challenges. There was also lack of communication on documents that were required. I would send Amerisave what they asked me for, then they would come back and tell me that was not acceptable. It was a complete nightmare. I've done a lot of FHA loans and this has been by far the worst.",2
Rodney,"Fleetwood, PA","Reviewed Aug. 15, 2023","I was doing a refinance mortgage with AmeriSave and the application process was very simple. As soon as I called, I got ahold of a broker and he walked me through the steps. It was effortless and I loved it. Overall, the whole process took about two months since I had a lot of stuff that I had to gather up being that I'm on disability. I liked the promptness of my rep in returning my calls and the explanation of everything that he gave. I was also pleased with rate and terms of my refinance.",5
Andrew,"Albany, MN","Reviewed Aug. 15, 2023",AmeriSave was nice to work with. It's been the easiest process ever that I've ever had with a loan. The online portal is the way to go. They told us every piece of information we had to download on there and it was quick. The communication was awesome.,5
Tydarryl,"Saint Louis, MO","Reviewed Aug. 14, 2023","The application process with AmeriSave was long because I jumped the gun. In the beginning, I was real confident that I had everything. But as the process was going on, my confidence kind of waivered, because it was taking so long and I still gotta make payments towards other things because it was not happening as fast as I wanted it to. There was a lot of going back and forth with paperwork I had to submit and then, the underwriter needed more information as opposed to the actual application process.",5
Kristina,"Lithia Springs, GA","Reviewed Aug. 14, 2023","The initial experience was good, but then we got transferred from our loan originator to our loan processor and she was not very responsive. It ended up causing us to be a week behind. We didn't have to push our closing date back, but there was a lot of stuff that we had to scramble to get in last minute because she apparently went on vacation when she was given our file. Overall, it was a good experience aside from that one hiccup. I was satisfied with the rate as well. We ended up getting 6.7%, which right now, is not terrible from what I've come to be told.",4
Melinda,"Oxford, MS","Reviewed Aug. 11, 2023","The loan officer was awesome. It didn't matter if it was past working time, he was gonna do what he had to to get things done. I really appreciated it. It was helpful with somebody that didn't know all the ins and outs of everything. He ended up finding a way to go around without using my income because the lady wouldn't do what I needed done. He worked with us and we got it all done. Amerisave went above and beyond.",5
Paulette,"Rumford, ME","Reviewed Aug. 11, 2023","I was very pleased with AmeriSave from beginning to end. The reps were very informative and kept me informed of every process. I dealt with Matthew in the beginning and then, Christopher, and the communication was excellent. I'm very happy with the rate, especially when I look online today. AmeriSave should keep up the good work. They're great. They informed me that my mortgage would be serviced by another company, which does happen.",5
Roger,"Secaucus, NJ","Reviewed Aug. 11, 2023","It was a great experience working with AmeriSave Mortgage. Spoke to one of the loan officers. He walked me through everything, sent me some e-documents to sign. He was nice, knowledgeable, and willing to help with anything. Everything was very easy. They worked with me on everything. Fast turnaround. I was surprised. The rate and terms are in line with everything that's going on.",5
Shannalla,"Quinton, AL","Reviewed Aug. 11, 2023",The refinancing process with AmeriSave was very slow. I almost left and didn't go through with it. It was just getting flood insurance and it was very long. I have financed probably four houses in my lifetime and it was the worst experience. It was almost two months. But the rate and terms are alright and I plan on getting refinanced the next year.,3
Keith,"Indianapolis, IN","Reviewed Aug. 10, 2023","My first experience with AmeriSave was great. The rate in terms were excellent. The salesperson was excellent. She was timely, and she got back with things right away. Things moved really smoothly. After she did her work, it ran into a mud puddle and it slowed way down. They requested things over and over again. The underwriters would request things they already had because they weren't paying attention to the fact they already had it. You could never talk to the underwriter. It got weighty then because they were opposite of the saleslady who we met with first. They could have looked to see what they had in their file before they requested it. We submitted exact same things multiple times.",3
