Author,Location,Date,Comments,Rating
Lindsay,"Ocala, FL","Reviewed June 9, 2023","I have worked with Rocket on two separate occasions. I cannot speak to actually getting a mortgage with them, but they communicate well, and they put everything up front. The first time, I was working to buy my first home, and they seemed like the best lender to go with. Their terms were the best for my situation, and they kept up with me and what was going on with me and encouraged me in my own work to get what I needed to start a mortgage with them.More",5
Lisa,"Evans, GA","Reviewed Feb. 13, 2023","My experience with Rocket Mortgage was beyond anything I could have imagined! When I originally bought my house in 2017, the experience was long, tedious and frustrating. I have actually put off a refinance for over two years simply because I didn’t want to deal with the process again. From my first day, Sam ** was constantly available, extremely helpful and quick, and total throughout the whole process I probably spent less than 30 minutes on the phone which was incredible and such a positive for me. Everything was extremely easy and convenient, I’ve told everyone who will listen to me to never buy or anything finance through anyone else. Thank you for making this process such a breeze! I will absolutely be back for any addictions mortgage needs.",5
Christopher,"Elgin, IL","Reviewed Jan. 13, 2023","Andreas ** was absolutely world class from the start of the loan process all the way through to the day of closing. He was available to me day and night and held firm with every promise that was made. Anytime we needed an escalation he personally sought out PJ and resolved the issue within what usually turned out to be an hour or two. Even at closing when I know I was supposed to be working with someone from that team, Andreas took my calls both at work and on his cell. He made Rocket Mortgage look hands down the best world class in customer service in the industry. I would strongly recommend anybody in my Family or Friends to rocket as long as the professionals were in line with how Andreas conducted himself. I give Andreas and Rocket a 11/10 and definitely a 5 star rating!!!",5
Rebecca,"Van Etten, NY","Reviewed Dec. 22, 2022","I was extremely nervous to utilize an online mortgage company. It seemed so impersonal. For some this is the biggest purchase you ever make in your life. I will, and already have recommended Rocket Mortgage. Ashli, and Scott were top of the line. Any time I had a question, it was answered. They were knowledgeable, sincere, and efficient. Going with an online company I really thought it would be a lot of phone tag, emails, and waiting. I never waited more than an hour before someone replied, or called me to touch base. That’s not including the touch bases to reassure me that everything was moving along as planned, or to just check in and see if I needed anything.More",5
Jason,"Jasper, AL","Reviewed Sept. 13, 2022","Thank You Rocket! It was a very smooth and easy experience using your online services... Submission of documents and the quick turnaround time made the loan pushed the process. I took advantage of your in house fsbo team and it was fantastic to get my purchase agreement made without having to rely on a realtor. The best part of the whole process was your people, from Lynn ** getting me into the right mortgage product and answering all of my questions quickly and knowledgeably... She took care of me like family and never let me feel I was out of the loop through the whole process. Hats off to Gary ** who also did an excellent job in the process of keeping me informed. Thank you so much! We are enjoying our new house and y'all were a part of that.",5
Kelli,"Brighton, CO","Reviewed Aug. 22, 2023","I am trying to buy a house in IL. I live in Colorado. Closing was to happen today so I am in IL now. I am paying 3/4 of the loan in cash. Last week, three things happened. The addendum to the appraisal failed to be delivered from the appraisal company on the east coast, Rocket became super-focused on my less than $200 Amazon bill and wanted a zero-balance notification, and Rocket wanted me to lower my monthly homeowner's insurance payments from $150/month to $50/month. This is all to improve my debt /income ratio but doesn’t take into consideration that I am selling my Colorado house and that I have funds in the bank to supplement my income until things settle. Everything is resolved after much effort EXCEPT the appraisal addendum.More",1
ROBERT,"Boca Raton, FL","Reviewed Aug. 5, 2023","Rocket in conversations, while applying for a loan, give me mostly bad information. Interest rate quoted was changed, closing costs were doubled and fixed rate mortgage applied for was changed to variable rate arm without my authorization. Really poor communication from broker and then he goes on vacation and left me with a women associate that also was horrible and know very little. Rocket strung me out for nearly a month with their bait and switch deception while I was trying to close the loan prior to additional interest rate increases. When I questioned why they changed everything in their second written proposal the women says they would not make the loan? Even though they cost me time and a higher interest rate I would not have proceeded doing business with this sorry and deceptive company anyway. Be aware!!!",1
Kelly,"O Fallon, IL","Reviewed July 24, 2023","I applied for a home equity loan with Rocket Mortgage. Some how during the on-line conversation with their representative, it turned into a loan refinance. The representative said we were not qualified for a home equity loan due to our credit and it would be better to refinance our loan. Our current VA loan has an interest rate of 3.24% and the rep tried to convince me to refinance for a 6.990% loan. I declined. He continued to try to convince me it was a better option. Again, I declined. We have received multiple emails and phone calls, even after unsubscribing from emails and declining phone calls. Today I received loan paperwork in the mail, which I again DECLINED. What does it take to get them to understand we are NOT INTERESTED in refinancing our 3.24%loan to a 6.990% loan? Rocket Mortgage needs to cease and desist contacting us, Immediately.",1
Kim,"Manchester Township, NJ","Reviewed June 26, 2023","They promised they wouldn't sell our mortgage. It is also stated in their advertising. Our excellent payment and credit history must not have been to their advantage. After harassing us for 2.5 years to re-refi our new mortgage, they sold our mortgage to a bank we would never have done business with. Unhappy and do not recommend them.",2
LiANN,"Houston, TX","Reviewed June 17, 2023","One year ago my husband and I experienced horrible customer service to the point of consulting with legal firms and the overseer of savings and loan entities. After working out a plan to get the issue resolved once and for all through a short repayment agreement. This company came BACK WITH ""oh you should have known the payment plan was going to fluctuate"". We were given a payment plan in writing and stuck to that, making each payment.More",1
